iter	RMSE
0	14.01467933
1	13.5974627
2	13.21130664
3	12.86324522
4	12.4745132
5	12.14826603
6	11.80075078
7	11.54556751
8	11.21876559
9	10.90330859
10	10.59773318
11	10.31775236
12	10.04024659
13	9.767562016
14	9.51387782
15	9.258160846
16	9.016764555
17	8.836059892
18	8.62959263
19	8.403959244
20	8.202443163
21	8.015410009
22	7.815698822
23	7.633329524
24	7.460841231
25	7.29319173
26	7.153657073
27	7.011610381
28	6.862786592
29	6.740280446
30	6.602074144
31	6.473106776
32	6.349347352
33	6.230005797
34	6.115731306
35	6.011013871
36	5.917237799
37	5.83561859
38	5.740723907
39	5.646562288
40	5.562169449
41	5.482327069
42	5.402936562
43	5.334587872
44	5.262624444
45	5.188982319
46	5.125579927
47	5.061201878
48	5.00956396
49	4.956578687
50	4.902734364
51	4.850782636
52	4.806335554
53	4.759809091
54	4.716440615
55	4.673365575
56	4.629271823
57	4.589426935
58	4.547831144
59	4.510434405
60	4.476437645
61	4.441255697
62	4.420237255
63	4.393762979
64	4.360272489
65	4.33306204
66	4.309385064
67	4.282498428
68	4.262948589
69	4.245430222
70	4.225706871
71	4.20324503
72	4.187537697
73	4.169927492
74	4.15423508
75	4.136965286
76	4.122571327
77	4.106403896
78	4.09657606
79	4.082355063
80	4.065566663
81	4.05327351
82	4.037211369
83	4.022308683
84	4.008832358
85	3.995552118
86	3.983037823
87	3.970055064
88	3.961037574
89	3.950596212
90	3.940342248
91	3.930527115
92	3.916867871
93	3.904560013
94	3.892925223
95	3.88462878
96	3.874620881
97	3.86570137
98	3.859366264
99	3.850289492
100	3.842837553
101	3.832395236
102	3.826293062
103	3.817553402
104	3.809587646
105	3.801311842
106	3.794395833
107	3.787192339
108	3.780222974
109	3.772483354
110	3.765370795
111	3.75786565
112	3.751460499
113	3.745946823
114	3.738581881
115	3.735990295
116	3.730612243
117	3.725411493
118	3.720108656
119	3.715284266
120	3.708367187
121	3.703472273
122	3.697927544
123	3.691822909
124	3.687244063
125	3.681774396
126	3.679553886
127	3.675758326
128	3.669517313
129	3.667321832
130	3.662300978
131	3.658477593
132	3.652161973
133	3.649098393
134	3.643954332
135	3.639853829
136	3.635259366
137	3.631682506
138	3.629041914
139	3.623956317
140	3.620059836
141	3.617286015
142	3.615007037
143	3.612133535
144	3.608647136
145	3.605374936
146	3.601855843
147	3.598647957
148	3.593164517
149	3.59039056
150	3.587088067
151	3.584751743
152	3.579954271
153	3.577271316
154	3.571508073
155	3.567342394
156	3.564392382
157	3.558890084
158	3.556072987
159	3.554468936
160	3.550566617
161	3.547713978
162	3.543792118
163	3.53802399
164	3.535600368
165	3.531957174
166	3.52684904
167	3.52419987
168	3.522901252
169	3.519195793
170	3.517331235
171	3.514462484
172	3.509139187
173	3.505519096
174	3.502859034
175	3.499373197
176	3.495438137
177	3.492253276
178	3.4897908
179	3.483301402
180	3.476773085
181	3.47446027
182	3.468660996
183	3.463461195
184	3.461364167
185	3.459004249
186	3.453146575
187	3.450735671
188	3.446988883
189	3.440527789
190	3.438016437
191	3.432250381
192	3.428776911
193	3.425789209
194	3.423021781
195	3.420956162
196	3.413824955
197	3.411925542
198	3.408814978
199	3.407172032
200	3.404875991
201	3.402043674
202	3.398145614
203	3.396151247
204	3.393188919
205	3.387039599
206	3.383917256
207	3.381352882
208	3.379088118
209	3.377174893
210	3.375662597
211	3.37400437
212	3.370242929
213	3.367570628
214	3.363948602
215	3.361757033
216	3.359815029
217	3.358041607
218	3.356017424
219	3.353646379
220	3.351374273
221	3.34845439
222	3.345488035
223	3.342817684
224	3.338736675
225	3.33532237
226	3.33184367
227	3.329293954
228	3.326992169
229	3.324406521
230	3.320602739
231	3.318136286
232	3.31665476
233	3.313281699
234	3.311753243
235	3.306438609
236	3.303682335
237	3.301676066
238	3.300086844
239	3.29573523
240	3.29048994
241	3.288516088
242	3.283422967
243	3.279609119
244	3.277334195
245	3.272978712
246	3.270983387
247	3.269501446
248	3.267266408
249	3.266219983
250	3.264361643
251	3.262576985
252	3.261348953
253	3.25943142
